Older,Younger
27.74029717,25.98
37.55512864,38.79
46.64887014,47.24
66.53365123,66.79
89.79987348,106
183.4869895,179.66
203.9426399,203
212.1939411,214.18
478.77,250.6
254.4326168,284.15
266.0882003,318.85
309.0045175,333.68
315.4810756,343.68
329.8674543,404.57
341.0670416,434.51
358.4086185,470.29
416.6775891,478.78
28.11,436.1717825
38.95,457.8614541
48.55,27.74029717
67.52,92.77
90,46.64887014
183,66.53365123
247.84,89.79987348
281.27,183.4869895
316.61,203.9426399
336.96,212.1939411
341.25,478.77
434.77,254.4326168
203,266.0882003
203,309.0045175
7.8,315.4810756
28.48,329.8674543
39.19,341.0670416
47.94,358.4086185
67.82,416.6775891
90,436.1717825
183.49,457.8614541
203.53,27.74029717
255.25,37.55512864
290.9,46.64887014
321.96,92.77
332.55,89.79987348
342.13,183.4869895
378.55,203.9426399
434.85,212.1939411
460.92,242.0267016
478.81,254.4326168
27.77,266.0882003
48.59,309.0045175
68.91,315.4810756
92.09,329.8674543
183,321.96
234.14,332.55
255.24,342.13
268.87,378.55
313.64,4
316.36,27.74029717
331.46,37.55512864
362.4,46.64887014
435.14,66.53365123
458.85,89.79987348
478.78,183.4869895
15.4,15.4
23.49,23.49
28.46,28.46
39.32,39.32
47.71,47.71
59.53,59.53
67.35,67.35
93.23,93.23
208,124.91
162.62,162.62
183,184.28
202.73,202.73
358.4086185,218.13
358.4086185,229.74
247.82,247.82
255.32,255.32
278.32,278.32
315.84,315.84
330.62,330.62
342.51,478.78
362.17,362.17
413.3,413.3
434.35,434.35
444.21,444.21
459.08,459.08
478.81,478.81
2.33,329.8674543
5.78,341.0670416
12.31,358.4086185
16.69,416.6775891
18.21,436.1717825
21.11,457.8614541
23.48,27.74029717
28.37,37.55512864
38.91,46.64887014
47.56,66.53365123
59.09,89.79987348
68.39,183.4869895
82.79,203.9426399
91.08,212.1939411
111.94,242.0267016
208,254.4326168
340,266.0882003
143.35,309.0045175
158.45,315.4810756
177.5,329.8674543
183,478.78
200.24,358.4086185
358.4086185,416.6775891
358.4086185,436.1717825
239.94,457.8614541
252.55,27.74029717
255.71,37.55512864
266.38,46.64887014
281.06,66.53365123
293.41,160
308.81,183.4869895
317.07,203.9426399
331.56,212.1939411
343.27,242.0267016
330,254.4326168
371.6,266.0882003
374.44,309.0045175
408.14,315.4810756
413.09,329.8674543
422.23,341.0670416
434.68,358.4086185
439.65,416.6775891
458.64,436.1717825
473.03,457.8614541
478.8,27.74029717
11.26,37.55512864
22.01,46.64887014
28.75,66.53365123
212,160
212,183.4869895
68.58,203.9426399
82.26,212.1939411
91.89,242.0267016
117.75,254.4326168
131.13,266.0882003
161.02,309.0045175
180.42,315.4810756
183,329.8674543
195.62,341.0670416
203.71,358.4086185
214.49,416.6775891
245.45,436.1717825
256.51,457.8614541
267.78,27.74029717
290.7,37.55512864
311.7,46.64887014
322.73,66.53365123
333.52,89.79987348
348.18,183.4869895
361.18,203.9426399
378.85,212.1939411
398.5,242.0267016
417.13,254.4326168
436.12,266.0882003
444.56,309.0045175
458.97,315.4810756
474.06,329.8674543
478.81,341.0670416
28.39,358.4086185
40.38,416.6775891
50.26,436.1717825
69.66,4
92.66,25.98
115.4,38.79
140.39,47.24
161.4,66.79
183,92.98
198.32,179.66
210.14,205.61
230.28,214.18
255.1,250.6
261.81,284.15
269.79,318.85
291.1,333.68
310.31,343.68
316.93,404.57
329.26,434.51
340.49,470.29
434.64,478.78
444.12,28.39
460.52,40.38
478.82,50.26
28.7,69.66
38.03,92.66
50.85,115.4
89.96,140.39
185.58,161.4
254.93,185.64
316.45,198.32
403.75,210.14
444.78,230.28
457.27,255.1
478.81,261.81
27.82,269.79
71.58,291.1
90.22,310.31
185.61,316.93
255.9,329.26
329.44,340.49
435.92,434.64
456.59,444.12
478.8,380
27.74029717,100
37.55512864,185
46.64887014,180
66.53365123,478.8
89.79987348,90
183.4869895,478.8
203.9426399,478.8
212.1939411,478.8
242.0267016,478.8
254.4326168,90
266.0882003,215
309.0045175,478.8
315.4810756,12.31
329.8674543,2.33
341.0670416,5.78
358.4086185,12.31
416.6775891,16.69
436.1717825,18.21
457.8614541,16.69
242,28
242,28
27.74029717,7.8
37.55512864,28.48
46.64887014,39.19
66.53365123,47.94
89.79987348,67.82
183.4869895,92.62
203.9426399,183.49
212.1939411,203.53
242.0267016,255.25
254.4326168,290.9
266.0882003,321.96
309.0045175,332.55
315.4810756,342.13
329.8674543,378.55
341.0670416,434.85
358.4086185,460.92
416.6775891,385
436.1717825,155
457.8614541,160